# Helldivers 2 structural resource inventory
# Read with filediver v0.7.40 -lf '%T\t%N' against the retail install, 2026-08-15.
# Types with >1000 members (wwise_stream, physics, unit, animation, texture, material)
# are summarised in the type histogram below rather than listed in full;
# the faction unit roster IS listed, because that is the part the notes argue from.

## type histogram (all 26,514 resources)
    16666 wwise_stream
     2153 physics
     2087 unit
     1147 animation
     1060 texture
      714 material
      429 wwise_dep
      428 wwise_bank
      416 bones
      372 state_machine
      224 speedtree
      181 xaml
      173 shader_library
      164 package
       75 ragdoll_profile
       62 shading_environment_mapping
       46 prefab
       34 shader_library_group
       12 ik_skeleton
       11 wwise_metadata
       10 lua
        8 level
        5 entity
        3 render_config
        3 font
        3 config
        3 cloth
        2 shading_environment
        2 particles
        1 wwise_properties
        1 vector_field
        1 ttf
        1 texture_atlas
        1 strings
        1 runtime_font
        1 renderable
        1 otf
        1 network_config
        1 mouse_cursor
        1 havok_physics_properties
        1 havok_ai_properties
        1 hash_lookup
        1 geometry_group
        1 geleta
        1 camera_shake
        1 bk2
        1 ah_bin

## every named resource of a structural type
cloth	content/fac_helldivers/capes/medium_cape
cloth	content/fac_helldivers/capes/shock_trooper_cape
cloth	content/fac_helldivers/equipment/melee_weapons/flag/melee_flag
config	content/input
config	core/performance_hud/performance_hud
config	rendering/performance_hud
entity	content/entities/directional_light_2
entity	content/entities/dummy
entity	content/level_generation_settings/level_generation_render_settings
entity	content/level_generation_settings/wind_shader_settings
havok_ai_properties	global
havok_physics_properties	global
ik_skeleton	content/fac_bugs/cha_strider/cha_strider
ik_skeleton	content/fac_bugs/cha_strider/cha_strider_gloom
ik_skeleton	content/fac_cyborgs/vehicles/cyborg_assault_walker/cyborg_assault_walker
ik_skeleton	content/fac_cyborgs/vehicles/cyborg_spawner/cyborg_spawner
ik_skeleton	content/fac_cyborgs/vehicles/cyborg_walker_scout/cyborg_walker_scout
ik_skeleton	content/fac_helldivers/cha_avatar/avatar_helldiver
ik_skeleton	content/fac_helldivers/fp_cha_avatar/fp_cha_avatar
ik_skeleton	content/fac_illuminate/cha_exomech_melee/cha_exomech_melee
ik_skeleton	content/fac_illuminate/cha_exomech_ranged/cha_exomech_ranged
ik_skeleton	content/fac_illuminate/cha_tripod/cha_tripod
ik_skeleton	content/fac_super_earth/cha_seaf/cha_seaf
level	content/fallback_resources/missing_level
level	content/levels/arrival_travel
level	content/levels/departure_travel
level	content/levels/empty_test
level	content/levels/main_menu
level	content/levels/ship_hub
level	core/fallback_resources/missing_level
lua	boot
lua	core/animation/lua/runtime/animationflowcallbacks
lua	core/animation/lua/runtime/animationrequires
lua	core/entities/vector_fields/global_direction/global_direction
lua	core/stingray_renderer/entities/reflection_probe/reflection_probe
lua	core/wwise/lua/wwise_bank_reference
lua	core/wwise/lua/wwise_flow_callbacks
lua	core/wwise/lua/wwise_preview
lua	core/wwise/lua/wwise_visualization
lua	debug
network_config	generated
package	packages/boot
package	packages/content/ammo_box
package	packages/content/asteroid_field
package	packages/content/atlas_excludes
package	packages/content/atlas_mission
package	packages/content/atlas_shared
package	packages/content/atlas_ship
package	packages/content/attachments_base
package	packages/content/audio
package	packages/content/base_environments
package	packages/content/base_faction
package	packages/content/black_hole
package	packages/content/bug_assassinate_chargers
package	packages/content/bug_assassinate_striders
package	packages/content/bug_central_core
package	packages/content/bug_destroy_stalker_lair
package	packages/content/bug_oil_pickup
package	packages/content/bug_oilpump
package	packages/content/bug_raise_flag
package	packages/content/bug_retrieve_larva
package	packages/content/bug_tcs_01
package	packages/content/bug_tcs_02
package	packages/content/bug_tcs_04
package	packages/content/bug_thumper
package	packages/content/bugs
package	packages/content/civillians
package	packages/content/cy_aa_emplacement
package	packages/content/cy_assassinate_lt
package	packages/content/cy_assassinate_tank
package	packages/content/cy_chemicals
package	packages/content/cy_convoy_assault
package	packages/content/cy_destroy_airbase
package	packages/content/cy_destroy_ammo
package	packages/content/cy_destroy_command_bunker
package	packages/content/cy_destroy_control_tower
package	packages/content/cy_destroy_cooling_structure
package	packages/content/cy_destroy_detector_tower
package	packages/content/cy_destroy_fuel
package	packages/content/cy_destroy_gunship
package	packages/content/cy_destroy_stratagem_blocker
package	packages/content/cy_hack_refinery
package	packages/content/cy_hack_turrets
package	packages/content/cy_hijack_fabricators
package	packages/content/cy_mortar_emplacement
package	packages/content/cy_neutralize_cannon
package	packages/content/cy_orbital_cannon
package	packages/content/cy_raise_flag
package	packages/content/cy_raze_city
package	packages/content/cy_sabotage_pipes
package	packages/content/cy_shutdown_grinder
package	packages/content/cy_steal_battery_cores
package	packages/content/cy_steal_coordinates
package	packages/content/cy_steal_platinum
package	packages/content/cyborg_gunship_spawner
package	packages/content/cyborg_spawner_factory
package	packages/content/cyborgs
package	packages/content/effects_base
package	packages/content/effects_bugs
package	packages/content/effects_cyborgs
package	packages/content/effects_env_ship
package	packages/content/effects_generated
package	packages/content/effects_illuminate
package	packages/content/effects_mission
package	packages/content/empty_test
package	packages/content/env_arctic_shared
package	packages/content/env_bugs
package	packages/content/env_coniferous_shared
package	packages/content/env_cyborgs
package	packages/content/env_deciduous_shared
package	packages/content/env_desert_shared
package	packages/content/env_forest_shared
package	packages/content/env_illuminate
package	packages/content/env_magma_shared
package	packages/content/env_moor_shared
package	packages/content/env_oasis_shared
package	packages/content/env_primordial_shared
package	packages/content/env_rocky_shared
package	packages/content/env_swamp_shared
package	packages/content/fireworks
package	packages/content/gen_colony_relay
package	packages/content/gen_evacuate_civilians
package	packages/content/gen_extract_civilians
package	packages/content/gen_fire_artillery
package	packages/content/gen_gather_footage
package	packages/content/gen_harddrive
package	packages/content/gen_horde_defend
package	packages/content/gen_icbm
package	packages/content/gen_oil_pickup
package	packages/content/gen_oilpump
package	packages/content/gen_orders
package	packages/content/gen_prospecting_drill
package	packages/content/gen_radar_station
package	packages/content/gen_radar_wagon
package	packages/content/gen_raise_flag
package	packages/content/gen_refueling_station
package	packages/content/gen_restore_power
package	packages/content/gen_seismic_probe
package	packages/content/gen_truth_transmitter
package	packages/content/gen_upload_data
package	packages/content/generic_planets
package	packages/content/global_resources
package	packages/content/grenade_box
package	packages/content/health_pack
package	packages/content/il_board_mothership
package	packages/content/il_destroy_texts
package	packages/content/il_destroy_weather_device
package	packages/content/il_raise_flag
package	packages/content/il_reclaim_location
package	packages/content/illuminate
package	packages/content/loadout_shared
package	packages/content/localization
package	packages/content/mechanical_bughole
package	packages/content/medals
package	packages/content/mission_defense
package	packages/content/mission_extraction_return
package	packages/content/mission_horde
package	packages/content/mission_infiltration
package	packages/content/mission_infiltration_bugs
package	packages/content/mission_infiltration_cyborg
package	packages/content/mission_infiltration_illuminate
package	packages/content/mission_tutorial
package	packages/content/mission_tutorial_music
package	packages/content/se_corp_ulterior
package	packages/content/seaf
package	packages/content/ship
package	packages/content/ship_extended
package	packages/content/stamp_proxies
package	packages/content/ui
package	packages/content/ui_mission
package	packages/content/ui_shared
package	packages/content/ui_ship
package	packages/content/ui_title
package	packages/content/unit_customization
package	packages/content/utility_arctic_day
package	packages/content/utility_arctic_editor_testing
package	packages/content/utility_coniferous_day
package	packages/content/utility_deciduous_day
package	packages/content/utility_deciduous_editor_testing
package	packages/content/utility_desert_day
package	packages/content/utility_desert_editor_testing
package	packages/content/utility_forest_day
package	packages/content/utility_forest_editor_testing
package	packages/content/utility_magma
package	packages/content/utility_magma_editor_testing
package	packages/content/utility_moor_day
package	packages/content/utility_moor_editor_testing
package	packages/content/utility_oasis
package	packages/content/utility_primordial_day
package	packages/content/utility_primordial_editor_testing
package	packages/content/utility_rocky
package	packages/content/utility_sandy
package	packages/content/utility_savanna
package	packages/content/utility_swamp_day
package	packages/content/utility_swamp_editor_testing
package	packages/content/warbond
package	packages/debug
package	packages/fallback_resources
package	packages/foundation
package	packages/generated/exploration_rewards
package	packages/localization/jp
package	packages/pre_boot
package	packages/splash
package	packages/terrain
prefab	content/env_bugs/assets/bug_cave_rocks/bug_cave_stalagmites_large_01
prefab	content/env_bugs/assets/bug_cave_rocks/bug_cave_stalagmites_medium_01
prefab	content/env_bugs/assets/bug_cave_rocks/bug_cave_stalagmites_medium_02
prefab	content/env_cyborg/fortifications/banner_03_prefab
prefab	content/env_shared/assets/props/cables/cable_03_red
prefab	content/env_shared/assets/props/cables/cable_03_yellow
prefab	content/env_shared/assets/props/cables/cable_04_red
prefab	content/env_shared/assets/props/cables/cable_04_yellow
prefab	content/env_shared_arctic/assets/ice/icicle_stalagmites_01
prefab	content/env_shared_arctic/assets/ice/icicle_stalagmites_02
prefab	content/env_shared_arctic/assets/ice/icicle_stalagmites_03
prefab	content/env_shared_arctic/assets/ice/icicle_stalagmites_04
prefab	content/env_super_earth/cities/buildings/12x8x6/001/12x8x6m_001
prefab	content/env_super_earth/cities/buildings/12x8x6/001/12x8x6m_001_fix
prefab	content/env_super_earth/cities/buildings/12x8xhigh/001/12x8xhigh_001
prefab	content/env_super_earth/colonies/buildings/colony_building_angled_01
prefab	content/env_super_earth/colonies/buildings/colony_building_large_01
prefab	content/env_super_earth/colonies/buildings/colony_building_medium_01
prefab	content/env_super_earth/colonies/buildings/colony_building_medium_03
prefab	content/env_super_earth/colonies/buildings/colony_building_small_01
prefab	content/env_super_earth/colonies/buildings/colony_building_small_03
prefab	content/env_super_earth/colonies/buildings/colony_building_small_04
prefab	content/env_super_earth/colonies/buildings/colony_building_small_05
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_22x22
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_22x54
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_22x86
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_54x54
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_54x86
prefab	content/env_super_earth/colonies/curbs/se_colony_curb_86x86
prefab	content/env_super_earth/colonies/props/colony_planter_1m_01
prefab	content/env_super_earth/colonies/props/colony_planter_2m_01
prefab	content/env_super_earth/colonies/props/colony_planter_4m_01
prefab	content/env_super_earth/habs/props/colony_sign_01_prefab
prefab	content/env_super_earth/habs/props/habs_fence_01_pivot
prefab	content/env_super_earth/vehicles/city_car_01_random
prefab	content/env_super_earth/vehicles/city_car_02_random
prefab	content/env_super_earth/vehicles/city_car_03_random
prefab	content/env_super_earth/vehicles/city_car_04_random
prefab	content/env_super_earth/vehicles/city_car_05_random
prefab	content/env_super_earth/vehicles/city_car_06_random
prefab	content/env_super_earth/vehicles/city_car_07_random
prefab	content/env_super_earth/vehicles/city_car_08_random
prefab	content/fallback_resources/missing_prefab
prefab	content/planet_desert_sandy/assets/speedtrees/sandy_bush_dry_medium_02
prefab	core/fallback_resources/missing_prefab
ragdoll_profile	content/fac_bugs/cha_boomer/cha_boomer
ragdoll_profile	content/fac_bugs/cha_boomer/cha_boomer_tier_2
ragdoll_profile	content/fac_bugs/cha_boomer_burrower/cha_boomer_burrower
ragdoll_profile	content/fac_bugs/cha_boomer_nurser/cha_boomer_nurser
ragdoll_profile	content/fac_bugs/cha_charger/cha_charger
ragdoll_profile	content/fac_bugs/cha_charger_acid/cha_charger_acid
ragdoll_profile	content/fac_bugs/cha_charger_bull/cha_charger_bull
ragdoll_profile	content/fac_bugs/cha_charger_burrower/cha_charger_burrower
ragdoll_profile	content/fac_bugs/cha_dragon/cha_dragon
ragdoll_profile	content/fac_bugs/cha_hive_lord/cha_hive_lord
ragdoll_profile	content/fac_bugs/cha_hunter/cha_hunter
ragdoll_profile	content/fac_bugs/cha_hunter/cha_hunter_gloom_tier1
ragdoll_profile	content/fac_bugs/cha_hunter/cha_hunter_tier3
ragdoll_profile	content/fac_bugs/cha_impaler/cha_impaler
ragdoll_profile	content/fac_bugs/cha_scavenger/cha_scavenger
ragdoll_profile	content/fac_bugs/cha_scavenger/cha_scavenger_captive
ragdoll_profile	content/fac_bugs/cha_scavenger/cha_scavenger_gloom
ragdoll_profile	content/fac_bugs/cha_scavenger_predator/cha_scavenger_predator
ragdoll_profile	content/fac_bugs/cha_scavenger_spitter/cha_scavenger_spitter
ragdoll_profile	content/fac_bugs/cha_shrieker/cha_shrieker
ragdoll_profile	content/fac_bugs/cha_stalker/cha_stalker
ragdoll_profile	content/fac_bugs/cha_strider/cha_strider
ragdoll_profile	content/fac_bugs/cha_strider/cha_strider_gloom
ragdoll_profile	content/fac_bugs/cha_warrior/cha_warrior
ragdoll_profile	content/fac_bugs/cha_warrior/cha_warrior_gloom_tier_1
ragdoll_profile	content/fac_bugs/cha_warrior/cha_warrior_tier_1
ragdoll_profile	content/fac_bugs/cha_warrior_acid/cha_warrior_acid
ragdoll_profile	content/fac_bugs/cha_warrior_big/cha_warrior_big
ragdoll_profile	content/fac_bugs/cha_warrior_big/cha_warrior_big_tier2
ragdoll_profile	content/fac_bugs/cha_warrior_burrower/cha_warrior_burrower
ragdoll_profile	content/fac_bugs/cha_warrior_plus/cha_warrior_plus
ragdoll_profile	content/fac_cyborgs/cha_berserker/cha_berserker
ragdoll_profile	content/fac_cyborgs/cha_berserker/cha_berserker_iron_fleet
ragdoll_profile	content/fac_cyborgs/cha_conscript/cha_conscript
ragdoll_profile	content/fac_cyborgs/cha_conscript/cha_conscript_iron_fleet
ragdoll_profile	content/fac_cyborgs/cha_conscript/cha_conscript_ivory_legion
ragdoll_profile	content/fac_cyborgs/cha_conscript/cha_conscript_tier_2
ragdoll_profile	content/fac_cyborgs/cha_conscript_commander/cha_conscript_commander
ragdoll_profile	content/fac_cyborgs/cha_cyborg_elite/cha_cyborg_elite_rusher
ragdoll_profile	content/fac_cyborgs/cha_cyborg_elite/cha_elite_female
ragdoll_profile	content/fac_cyborgs/cha_lieutenant/cha_lieutenant
ragdoll_profile	content/fac_cyborgs/cha_lieutenant_assault/cha_lieutenant_assault
ragdoll_profile	content/fac_cyborgs/cha_soldier/cha_soldier
ragdoll_profile	content/fac_cyborgs/cha_soldier/cha_soldier_heavy_weapon
ragdoll_profile	content/fac_cyborgs/cha_soldier/cha_soldier_iron_fleet
