# libraries: 813, DXBC blobs: 2153, unique identifiers: 1596
# files	total	name
811	2153	Compiler
811	2153	Shader
811	2151	RD11
811	2153	HLSL
811	2151	STAT
811	2153	Microsoft
795	1385	OSGN
741	1774	RDEF
733	1658	SHEX
721	1573	DXBC
714	1302	ISGN
627	1677	float2
543	1471	float
530	1560	float4
437	1596	SV_POSITION
430	746	SV_TARGET
419	1188	float4x4
415	1680	TEXCOORD
403	617	__tex_input_texture0
400	614	__samp_input_texture0
345	1065	float3
318	1013	camera_last_inv_projection
318	1013	camera_inv_view
318	1013	frame_number
318	1013	camera_near_far
318	1013	delta_time
318	1013	raw_non_checkerboarded_viewport
318	1013	debug_rendering
318	1013	raw_non_checkerboarded_target_size
318	1013	upscaling_method
318	1013	vrs_single_axis_opacity_multiplier
318	1013	post_effects_enabled
318	1013	camera_last_inv_view
318	1013	vrs_tile_size
318	1013	camera_last_view_projection
318	1013	camera_last_view
318	1013	camera_inv_projection
318	1013	imp_transparent_override
318	1013	camera_projection
318	1013	camera_unprojection
318	1013	debug_lod
318	1013	cb_camera_pos
318	1013	camera_view
318	1013	camera_center_pos
318	1013	debug_shadow_lod
318	1013	global_viewport
318	1013	vrs_enabled
318	1013	time
318	1013	camera_view_projection
318	1013	camera_last_projection
318	1013	texture_density_visualization
318	1013	vp_render_resolution
318	1013	vrs_coverage_enabled
287	1042	fullscreen_rect
280	592	SV_VertexID
273	1020	fullscreen_uv_rect
264	564	inv_input_texture0_size
258	451	uav0
237	393	ISGNP
234	387	OSGNP
158	163	POSITION
146	203	__tex_input_texture1
144	201	__samp_input_texture1
123	281	ISGNh
108	134	inv_view_proj
108	134	inv_view
108	134	context_camera
108	134	proj
108	134	view
108	134	view_proj
105	270	atmospheric_lookup
94	213	output_mip_level
92	250	input_texture0_size
87	287	bool
80	334	COLOR
79	142	c_noesis
79	142	noesis_projectionMtx
79	121	TMXn
79	142	noesis_textureSize
77	140	inv_input_texture1_size
77	167	cb_world
73	127	SFI0
69	148	__tex_bluenoise_texture
69	148	__samp_bluenoise_texture
67	181	input_mip_level
66	337	__tex_linear_depth
64	487	distant_weather_effect0
64	487	distant_weather_effect1
